comparison,crowding,pixel_mean_absolute_difference,pixel_mean_absolute_difference,global_cosine_distance,global_cosine_distance,patch_mean_cosine_distance,patch_mean_cosine_distance,patch_max_cosine_distance,patch_max_cosine_distance,patch_top10pct_mean_cosine_distance,patch_top10pct_mean_cosine_distance,patch_changed_region_mean_cosine_distance,patch_changed_region_mean_cosine_distance,patch_unchanged_region_mean_cosine_distance,patch_unchanged_region_mean_cosine_distance,changed_patch_fraction,changed_patch_fraction,localization_enrichment,localization_enrichment,localization_topk_recall,localization_topk_recall,localization_topk_lift,localization_topk_lift,patch_reference_region_mean_cosine_distance,patch_reference_region_mean_cosine_distance,patch_reference_outside_mean_cosine_distance,patch_reference_outside_mean_cosine_distance,reference_region_enrichment,reference_region_enrichment
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
no_change,0,0.0,0.0,0.0,0.0,1.83936208486557e-08,0.0,2.980232238769531e-07,0.0,1.4901161193847656e-07,0.0,,,1.83936208486557e-08,0.0,0.0,0.0,,,,,,,1.894122043211155e-08,1.2519647607717144e-08,1.840625820648256e-08,5.785474590433476e-10,1.0497447921442666,0.7144241601057301
tiny_pixel_noise,0,0.0018997778743505478,4.5257887265570975e-05,0.09332896471023559,0.004893408560072027,0.21578643798828126,0.005339774021312125,0.46084973096847537,0.04157302681322648,0.3799653017520905,0.012215549861826097,0.21578549861907959,0.005287215658047128,0.21098524663183424,0.06602158082395661,0.99828125,0.002541565272909267,1.1310531928175704,0.44210549889071904,0.9982720398902893,0.00255770785153715,0.99999073432238,1.731600083430248e-05,0.261818510890007,0.031336630878068567,0.21317433714866638,0.005154491590039084,1.228245347434439,0.14323123667408616
pixel_matched_noise,0,0.015197572112083436,0.006046442823780174,0.27180673122406007,0.08098114543406167,0.36955986022949217,0.04685982476604826,0.6177816534042359,0.05368184663134525,0.5728687691688538,0.048201806517233645,0.36955986022949217,0.04685982476604826,,,1.0,0.0,,,1.0,0.0,1.0,0.0,0.4168969690799713,0.062240262555313466,0.3667822098731995,0.04575672472730427,1.1351342844371608,0.07772640902769082
sparse_pixel_matched_noise,0,0.015205078125,0.006048958641995127,0.5493709444999695,0.020626710459507595,0.45522600173950195,0.02527786216067043,0.771151442527771,0.0235767413045955,0.7104045939445496,0.012934492251504096,0.5367270946502686,0.021894813811867333,0.4354371380805969,0.025050812571668413,0.21625,0.0751794998254871,1.2374076580355904,0.10005165478643363,0.40017783880233765,0.07331276360538043,2.010550174235238,0.5785579744735162,0.4479970908164978,0.06773573710343565,0.4554823386669159,0.024862269859102584,0.9823118393733854,0.13179837763004928
add_stroke,0,0.015205078125,0.006048958641995127,0.3586416482925415,0.07998463415172906,0.3786164307594299,0.050159461567983746,0.7938371515274047,0.03014611434970887,0.7264657878875732,0.03578647829363335,0.74617107629776,0.03377043076248578,0.3589357078075409,0.04822905293246591,0.05171875,0.01563638907841124,2.114030843576615,0.2922202407284273,0.6804964864253997,0.15549635659822425,14.068740244671169,4.642815759524162,0.74617107629776,0.03377043076248578,0.3589357078075409,0.04822905293246591,2.114030843576615,0.2922202407284273
shift_position,0,0.02677734375,0.011548118238750437,0.045346460342407226,0.05433684903212425,0.08537622064352035,0.060271106364009515,0.4701428198814392,0.09196612304612763,0.27156187951564786,0.08736872366375985,0.1990325328707695,0.095106802899505,0.07388477362692356,0.057369772179189656,0.08890625,0.03094907190988662,3.001156488450872,0.9469670097189561,0.43395099848508834,0.15477491695026369,5.423153650063391,2.928911946068431,0.202493277490139,0.1003726963032949,0.0789582446962595,0.058814039546469715,2.8267729855177044,0.9505358182311611
change_width,0,0.033935546875,0.011781102767280671,0.17211801290512085,0.07195822584271948,0.14632700890302658,0.03962633826417938,0.37904279708862304,0.07215798831895477,0.3120018380880356,0.07328684969895291,0.3063828468322754,0.07168755253642088,0.13211279422044753,0.03704295010656149,0.08078125,0.0236190882153609,2.374979654460164,0.3711252501882728,0.7142824840545654,0.12594425136121848,9.440150128442454,2.852359554115975,0.3219358152151108,0.07692993123962857,0.13663868546485902,0.038044711197918614,2.410072224817467,0.3957426120965419
change_intensity,0,0.009540441315621137,0.0037954250768479077,0.040160837173461916,0.010275520040753022,0.03426351279020309,0.013931755413859163,0.08243582487106323,0.02475473775063463,0.06091105714440346,0.02013267032115667,0.060790007039904594,0.017752646097684812,0.03276248529553413,0.014100095207185394,0.05171875,0.01563638907841124,1.9815636361012539,0.5282616407168921,0.546140506863594,0.3030208672312051,10.449527875384517,6.116355968882111,0.060790007039904594,0.017752646097684812,0.03276248529553413,0.014100095207185394,1.9815636361012539,0.5282616407168921
no_change,5,0.0,0.0,1.430511474609375e-08,3.559683336251759e-08,1.8384307622909544e-08,2.463571200759534e-09,2.551078796386719e-07,4.0425836939366277e-08,1.347064971923828e-07,8.352119147935978e-09,,,1.8384307622909544e-08,2.463571200759534e-09,0.0,0.0,,,,,,,1.6813103513868554e-08,1.3576124463667913e-08,1.8460881889836855e-08,2.5236151013524346e-09,0.9384684196192002,0.7808573176132434
tiny_pixel_noise,5,0.0020319776283577087,6.613259220828578e-05,0.024901387691497804,0.005654737260228839,0.0809197635948658,0.012055999413222138,0.4857266879081726,0.05619525316405124,0.3154954707622528,0.029970048531374253,0.08090806141495704,0.012116270453600368,0.0823525105203901,0.06356640624008934,0.9984375,0.0029834477180702107,2.3348234621076607,2.6150438606561597,0.9984264183044433,0.003011051513600336,0.9999888210165117,3.004593067875174e-05,0.06883067850023508,0.06129573114793409,0.08135774970054627,0.011794760075565769,0.8460738115312019,0.7118073773581873
pixel_matched_noise,5,0.012941214805468917,0.006259094813603558,0.05662946224212646,0.026257777196632498,0.13427812695503236,0.04025307261086379,0.5923525667190552,0.07690732735419428,0.4426832985877991,0.08354751746069262,0.13427812695503236,0.04025307261086379,,,1.0,0.0,,,1.0,0.0,1.0,0.0,0.11696420319378376,0.10291390541164815,0.1349815109372139,0.038956293764157844,0.7897279805135615,0.5633939255732089
sparse_pixel_matched_noise,5,0.01295281870290637,0.0062570007293129195,0.09114706516265869,0.036778823420284136,0.1552373966574669,0.0332712672970012,0.6349851489067078,0.07550094583714573,0.46429295182228086,0.04674912822825407,0.21201785027980805,0.03441970795464112,0.14277390420436858,0.03198707121752685,0.20390625,0.0755096076426978,1.524430300527363,0.28510427157627405,0.35586944341659543,0.06153695498183909,1.949460206967209,0.7253842682372763,0.12228858448565007,0.06743968526797472,0.15684388995170592,0.033674330776680694,0.7672367969361994,0.3741152978516267
add_stroke,5,0.01295281870290637,0.0062570007293129195,0.04907698154449463,0.030297061803330562,0.07330180540680885,0.03203140508480145,0.5627700734138489,0.1513221045418534,0.3143536907434463,0.12126379177442188,0.30992390885949134,0.10019397148835717,0.06028931144624949,0.026401535516259584,0.05046875,0.016181496232193733,5.729679224528974,2.761117487100532,0.5080883446335792,0.13939758883118994,10.8936171617943,4.722946280121895,0.30992390885949134,0.10019397148835717,0.06028931144624949,0.026401535516259584,5.729679224528974,2.761117487100532
shift_position,5,0.023221469186246395,0.011378799793247607,0.024346859455108644,0.01751819359876372,0.05300716631114483,0.023567657255889506,0.5248895025253296,0.10132153204598769,0.26054642975330355,0.09415224040475102,0.19343691557645798,0.06498888497181747,0.038744625374674796,0.016671581875436898,0.0865625,0.031223132981863386,5.574075983080824,2.4145033009074837,0.5170835947990418,0.15643964875865674,6.638782481503099,3.1107256126834235,0.19605682998895646,0.07112566502354799,0.04540534049272537,0.0202097340780404,4.820100491453413,2.4742969749310855
change_width,5,0.029193397872149945,0.011869240875646368,0.04662260055541992,0.032237566393389504,0.062829265370965,0.023442074023524932,0.4067039346694946,0.10550940446013511,0.2671553525328636,0.07574756100244942,0.2538613986968994,0.07100384514859287,0.04608911450952292,0.018195146461446085,0.07984375,0.024028994530046404,5.998929286069259,1.9215684285753583,0.6802008843421936,0.11958457124407737,9.181964225945022,3.0187726905121206,0.2827247017621994,0.08218021498411042,0.05113707013428211,0.01993599701745046,6.0015231432668585,1.9113272758598954
