comparison,crowding,pixel_mean_absolute_difference,pixel_mean_absolute_difference,global_cosine_distance,global_cosine_distance,patch_mean_cosine_distance,patch_mean_cosine_distance,patch_max_cosine_distance,patch_max_cosine_distance
,,mean,std,mean,std,mean,std,mean,std
no_change,0,0.0,0.0,0.0,0.0,1.83936208486557e-08,0.0,2.980232238769531e-07,0.0
tiny_pixel_noise,0,0.003075852757319808,1.7971163946625306e-05,0.09644277890523274,0.008568350288338864,0.22773317992687225,0.007255992678983873,0.451760192712148,0.010885188192137102
add_stroke,0,0.012512446381151676,0.004134163630616435,0.3812576134999593,0.010207697374952193,0.35245708624521893,0.01324412294219634,0.7881730198860168,0.056595228889267934
shift_position,0,0.024598204841216404,0.008285034792725458,0.014796912670135498,0.012895903575609552,0.054936440040667854,0.02540741183788673,0.4141899545987447,0.07895643986495622
change_width,0,0.03540070975820223,0.0019348155260146232,0.19812323649724325,0.08225803521734873,0.14260370781024298,0.02307826556578207,0.42075641949971515,0.11579865937185282
change_intensity,0,0.011080473971863588,0.005379725325277297,0.039190967877705894,0.0031784532727274165,0.031167457501093548,0.007378433448945399,0.08527787526448567,0.011856081328785668
no_change,5,0.0,0.0,1.9868214925130207e-08,3.44127577060238e-08,1.955777406692505e-08,3.7470545944364465e-09,2.582867940266927e-07,3.44127577060238e-08
tiny_pixel_noise,5,0.0030219184700399637,2.2048276380007408e-05,0.022323191165924072,0.002833434591363161,0.08766392370065053,0.011532656939163798,0.45630500713984173,0.04047292419086207
add_stroke,5,0.00810897924626867,0.006180830223393707,0.09209038813908894,0.06524538907116792,0.09290079399943352,0.06560416716456466,0.5750816861788431,0.1587829657520176
shift_position,5,0.016432419108847778,0.011594168474765316,0.035389979680379234,0.029313664162345997,0.044753311201930046,0.012297826253544461,0.43684717019399005,0.11074245495852097
change_width,5,0.01957688635836045,0.008550127613548219,0.07355258862177531,0.03233984222760434,0.07141167173782985,0.025730997729589932,0.5447851816813151,0.10633398704201902
change_intensity,5,0.00857843179255724,0.006433823944202492,0.03117052714029948,0.018099106574504788,0.030890343710780144,0.011683180590906105,0.21814469496409097,0.0907629981417538
