comparison,crowding,sample_id,pixel_mean_absolute_difference,global_cosine_distance,patch_mean_cosine_distance,patch_max_cosine_distance
no_change,0,0,0.0,0.0,1.83936208486557e-08,2.980232238769531e-07
tiny_pixel_noise,0,0,0.0030953201930969954,0.10462343692779541,0.23558545112609863,0.4516122341156006
add_stroke,0,0,0.008326631039381027,0.37473064661026,0.3566996455192566,0.7234811782836914
shift_position,0,0,0.016653262078762054,0.004063010215759277,0.040954407304525375,0.3450671434402466
change_width,0,0,0.03330652415752411,0.10825741291046143,0.11624715477228165,0.29036402702331543
change_intensity,0,0,0.005974264815449715,0.04250901937484741,0.03905799984931946,0.07210862636566162
no_change,0,1,0.0,0.0,1.83936208486557e-08,2.980232238769531e-07
tiny_pixel_noise,0,1,0.0030598959419876337,0.0971716046333313,0.22633801400661469,0.4409497380256653
add_stroke,0,1,0.016592945903539658,0.3930208683013916,0.3630600869655609,0.8125036954879761
shift_position,0,1,0.033185891807079315,0.029102087020874023,0.08426383137702942,0.5002357959747314
change_width,0,1,0.035773783922195435,0.2696923017501831,0.1591886579990387,0.5115982294082642
change_intensity,0,1,0.01669730432331562,0.036173462867736816,0.02443906106054783,0.09510207176208496
no_change,0,2,0.0,0.0,1.83936208486557e-08,2.980232238769531e-07
tiny_pixel_noise,0,2,0.003072342136874795,0.08753329515457153,0.22127607464790344,0.4627186059951782
add_stroke,0,2,0.012617762200534344,0.3760213255882263,0.33761152625083923,0.8285341858863831
shift_position,0,2,0.023955460637807846,0.011225640773773193,0.03959108144044876,0.3972669243812561
change_width,0,2,0.03712182119488716,0.2164199948310852,0.15237531065940857,0.4603070020675659
change_intensity,0,2,0.010569852776825428,0.03889042139053345,0.030005311593413353,0.08862292766571045
no_change,5,0,0.0,5.960464477539063e-08,1.6530975699424744e-08,2.384185791015625e-07
tiny_pixel_noise,5,0,0.0030206418596208096,0.02324765920639038,0.09806118905544281,0.4680880904197693
add_stroke,5,0,0.015212354250252247,0.1619701385498047,0.16862133145332336,0.6390737891197205
shift_position,5,0,0.02966739423573017,0.023899435997009277,0.04936108738183975,0.5647201538085938
change_width,5,0,0.028807636350393295,0.10142731666564941,0.10065115988254547,0.6592665910720825
change_intensity,5,0,0.015931373462080956,0.031248629093170166,0.033394359052181244,0.2711658477783203
no_change,5,1,0.0,0.0,1.83936208486557e-08,2.384185791015625e-07
tiny_pixel_noise,5,1,0.0030445773154497147,0.02457892894744873,0.07525940239429474,0.4112480878829956
add_stroke,5,1,0.003957950510084629,0.03276658058166504,0.05696585774421692,0.6918834447860718
shift_position,5,1,0.008068129420280457,0.013562321662902832,0.030817018821835518,0.3723945617675781
change_width,5,1,0.017994599416851997,0.03809511661529541,0.05222317576408386,0.5259817242622375
change_intensity,5,1,0.003982843365520239,0.013032495975494385,0.01815817318856716,0.11334306001663208
no_change,5,2,0.0,0.0,2.3748725652694702e-08,2.980232238769531e-07
tiny_pixel_noise,5,2,0.003000536235049367,0.019142985343933105,0.08967117965221405,0.48957884311676025
add_stroke,5,2,0.005156632978469133,0.08153444528579712,0.05311519280076027,0.3942878246307373
shift_position,5,2,0.011561733670532703,0.06870818138122559,0.05408182740211487,0.37342679500579834
change_width,5,2,0.011928423307836056,0.0811353325843811,0.0613606795668602,0.44910722970962524
change_intensity,5,2,0.005821078550070524,0.04923045635223389,0.041118498891592026,0.26992517709732056
