predictor_family,score_name,candidate_sets,exact_top1_rate,exact_top5_rate,mean_exact_rank,mean_exact_regret,max_exact_regret,mean_score_exact_spearman,mean_predicted_score_range,mean_elapsed_seconds
mse_only,normalized_latent_mse,72,0.1527777777777778,0.3333333333333333,29.458333333333332,0.0014773843192175365,0.005075136007690162,0.581507614901136,0.0030295468168333173,0.3398685457221341
mse_only,normalized_latent_l1,72,0.18055555555555555,0.5138888888888888,12.38888888888889,0.0010517144069821269,0.004732126398721448,0.6192424342849114,0.00855685503187555,0.3398685457221341
mse_only,pixel_error_weighted_normalized_latent_mse,72,0.20833333333333334,0.4444444444444444,29.958333333333332,0.001264608268962143,0.004732126398721448,0.5335430824562244,0.003297350153809897,0.3398685457221341
mse_only,decoded_pixel_l1,72,0.1111111111111111,0.4166666666666667,16.944444444444443,0.0013697804611373006,0.006622993370456243,0.6661164584310176,0.0174350644013396,0.3398685457221341
mse_only,decoded_pixel_l1_plus_quarter_sobel_l1,72,0.06944444444444445,0.2777777777777778,24.59722222222222,0.002128922995382254,0.011460432001513254,0.5728532509591141,0.026852383312803728,0.3398685457221341
ranking_aware,normalized_latent_mse,72,0.125,0.2638888888888889,35.15277777777778,0.0019415300012294917,0.00827652282487179,0.493665567056158,0.0033362793037667858,0.3606220885695216
ranking_aware,normalized_latent_l1,72,0.125,0.3194444444444444,21.194444444444443,0.0018134190618626336,0.008745359384192852,0.5660545349418443,0.008973545808759,0.3606220885695216
ranking_aware,pixel_error_weighted_normalized_latent_mse,72,0.16666666666666666,0.4166666666666667,31.583333333333332,0.0014434657543157907,0.006548363799083745,0.4930036860989762,0.003712839791896166,0.3606220885695216
ranking_aware,decoded_pixel_l1,72,0.08333333333333333,0.3472222222222222,18.98611111111111,0.001429187194812837,0.006622993370456243,0.6809815078650236,0.01859439978445018,0.3606220885695216
ranking_aware,decoded_pixel_l1_plus_quarter_sobel_l1,72,0.06944444444444445,0.2638888888888889,22.319444444444443,0.001905415380880034,0.0075748433678199945,0.5842989351493233,0.028631583270099428,0.3606220885695216
