target_id,target_seed,planner_seed,method,maximum_steps,executed_steps,candidates_per_step,initial_mse,final_mse,best_mse,best_step,final_mae,relative_final_mse_improvement,relative_best_mse_improvement,improved_steps,elapsed_seconds,stopped_early,stop_round,current_score_at_stop,best_candidate_score_at_stop,exact_top1_rate,exact_top5_rate,mean_exact_rank,mean_exact_regret,max_exact_regret,mean_score_exact_spearman
target_01,20270201,20270211,exact_pixel,100,100,128,0.18191091313201468,0.04983338255033232,0.04983338255033232,100,0.10661094444003538,0.7260561134440148,0.7260561134440148,96,2.2334906659998524,False,,,,,,,,,
target_01,20270201,20270211,learned_pixel,100,100,128,0.18191091313201468,0.06434842419048437,0.06369285844039041,75,0.1320216753083514,0.646264080133631,0.6498678537545033,64,7.894803249997494,False,,,,0.24,0.39,7.89,0.00041168586380990746,0.002243329527118476,
target_01,20270201,20270211,current_latent_mse_forced,100,100,128,0.18191091313201468,0.08971441945641345,0.08476563935391823,75,0.17227136877045268,0.5068222246165807,0.5340266403236462,58,11.930140415999631,False,,,,0.07,0.28,25.57,0.0017167426781998073,0.008248686810475192,0.48982966202923534
target_01,20270201,20270211,development_selected_score_forced,100,100,128,0.18191091313201468,0.07653404527673047,0.07326581996085224,58,0.13115330253276625,0.5792773288912639,0.5972434050304477,67,11.219742540997686,False,,,,0.06,0.21,20.52,0.0015161117162051595,0.006153282088689593,0.5009616850641682
target_01,20270201,20270211,development_selected_score_no_op,100,6,128,0.18191091313201468,0.12315214056343393,0.12315214056343393,6,0.17074525246061967,0.3230085076091003,0.3230085076091003,6,0.7711588329984806,True,7.0,0.12745583057403564,0.12864678601423898,0.3333333333333333,0.8333333333333334,5.833333333333333,0.00219713558605387,0.005634397737139807,0.7245689700009983
target_02,20270202,20270212,exact_pixel,100,100,128,0.17161732490058057,0.04423437911009387,0.044231495591702696,99,0.09771465202356922,0.7422499206550432,0.742266722678923,97,2.317334416999074,False,,,,,,,,,
target_02,20270202,20270212,learned_pixel,100,100,128,0.17161732490058057,0.04674948817864788,0.04544823107335105,77,0.10311446904597688,0.7275945875177213,0.7351769053638401,79,8.394780167000135,False,,,,0.41,0.75,4.49,0.00013496186662450782,0.0009193579567181587,
target_02,20270202,20270212,current_latent_mse_forced,100,100,128,0.17161732490058057,0.06285677587220562,0.06078905039885285,75,0.11389399678228074,0.6337387503935334,0.645787216214514,62,12.196052625000448,False,,,,0.09,0.3,20.29,0.0011430062657791496,0.005266165038392501,0.5880180909530758
target_02,20270202,20270212,development_selected_score_forced,100,100,128,0.17161732490058057,0.060793485313297424,0.060751193886517285,99,0.10476983976332122,0.6457613743337648,0.6460078029901061,70,11.194492249996983,False,,,,0.05,0.19,22.15,0.0015661252319205232,0.007142370277961163,0.4807167351344112
target_02,20270202,20270212,development_selected_score_no_op,100,0,128,0.17161732490058057,0.17161732490058057,0.17161732490058057,0,0.21285903261741623,0.0,0.0,0,0.10720554200088372,True,1.0,0.16211971640586853,0.16284793615341187,,,,,,
target_03,20270203,20270213,exact_pixel,100,100,128,0.13946590696286876,0.045953619320698635,0.04594592997000291,98,0.10011680267052725,0.6705028467428009,0.6705579810108323,96,2.1669391249997716,False,,,,,,,,,
target_03,20270203,20270213,learned_pixel,100,100,128,0.13946590696286876,0.06518602516598548,0.05844035217751298,50,0.13344534907810157,0.5326024360681888,0.5809703356887639,46,7.83128379199843,False,,,,0.23,0.38,12.45,0.0005505962470260784,0.00214084232766254,
target_03,20270203,20270213,current_latent_mse_forced,100,100,128,0.13946590696286876,0.08038478174239572,0.07208257550564667,50,0.16958773380611092,0.423624142323204,0.48315271398308224,57,11.680706374998408,False,,,,0.1,0.28,23.47,0.0013618698940308606,0.008879287793661206,0.4210052864300953
target_03,20270203,20270213,development_selected_score_forced,100,100,128,0.13946590696286876,0.07920039128930512,0.07085040736137671,56,0.16057846713374602,0.4321164719461414,0.49198761973964117,60,12.56204124999931,False,,,,0.08,0.3,22.32,0.0009699314195722764,0.005362055521800357,0.49920378842077556
target_03,20270203,20270213,development_selected_score_no_op,100,4,128,0.13946590696286876,0.11805028883145496,0.11805028883145496,4,0.17707854589025374,0.15355450373341395,0.15355450373341395,4,0.5512464999992517,True,5.0,0.1552256941795349,0.15594824651877084,0.25,1.0,3.0,0.001782071474053737,0.0029329382223295397,0.4316851744686405
