target_id,target_seed,planner_seed,method,steps,candidates_per_step,initial_mse,final_mse,final_mae,relative_mse_improvement,improved_steps,elapsed_seconds,exact_top1_rate,exact_top5_rate,mean_exact_rank,mean_exact_regret,max_exact_regret
target_01,20260901,20260920,random,100,128,0.1494467401134898,0.1455379972376249,0.2972445536288433,0.0261547550177176,44,1.7333437502384186,,,,,
target_01,20260901,20260920,exact,100,128,0.1494467401134898,0.0473068666292419,0.1035070071047812,0.6834533386722442,97,2.162758708000183,,,,,
target_01,20260901,20260920,learned,100,128,0.1494467401134898,0.0701995830468149,0.1402516072157595,0.5302702287550373,40,7.55292983353138,0.2,0.29,14.59,0.0006090250306988,0.0020970638315702
target_02,20260902,20260921,random,100,128,0.1673054449929623,0.1409680915967328,0.2890107933926629,0.1574207784889328,49,1.751590583473444,,,,,
target_02,20260902,20260921,exact,100,128,0.1673054449929623,0.0489397468791139,0.1053519445194979,0.7074826412184456,93,2.4199140407145023,,,,,
target_02,20260902,20260921,learned,100,128,0.1673054449929623,0.054447677222015,0.1126560584962135,0.674561236041628,69,9.085310958325865,0.34,0.64,5.07,0.0002132061275415,0.0008090826349871
target_03,20260903,20260922,random,100,128,0.2410009983796044,0.1778864135822004,0.3272594922273129,0.2618851590730391,62,1.7449682094156742,,,,,
target_03,20260903,20260922,exact,100,128,0.2410009983796044,0.0545686297414249,0.114809282717033,0.7735750884505754,96,2.179182916879654,,,,,
target_03,20260903,20260922,learned,100,128,0.2410009983796044,0.0613141985768379,0.123059321220353,0.7455852922224787,85,7.889200333505869,0.32,0.66,6.27,0.0004570011344867,0.0046942129447415
target_04,20260904,20260923,random,100,128,0.1912562141442322,0.1651467578558367,0.3280464855961327,0.1365155971805731,55,1.7356349164620042,,,,,
target_04,20260904,20260923,exact,100,128,0.1912562141442322,0.0530980737571553,0.1160567927072406,0.7223720337938276,98,2.1782198324799538,,,,,
target_04,20260904,20260923,learned,100,128,0.1912562141442322,0.0653253581613171,0.1344659541719011,0.6584405978461266,73,8.002765834331512,0.34,0.61,5.41,0.0003152069502857,0.0024659645519022
target_05,20260905,20260924,random,100,128,0.1813609581149649,0.1504415630442963,0.2951813286163087,0.1704853976955101,59,1.7395859165117145,,,,,
target_05,20260905,20260924,exact,100,128,0.1813609581149649,0.0535296242160256,0.1192775345589325,0.7048448311455588,99,2.1818956676870584,,,,,
target_05,20260905,20260924,learned,100,128,0.1813609581149649,0.0453755681246548,0.1033720131745212,0.7498052028601923,90,7.937503250315785,0.54,0.92,2.75,0.0001499863373146,0.0045644515553249
target_06,20260906,20260925,random,100,128,0.1777868595017935,0.1558425608313882,0.313637400890002,0.123430374617669,56,1.735179209150374,,,,,
target_06,20260906,20260925,exact,100,128,0.1777868595017935,0.0454308543025945,0.0999664900882635,0.7444644985017229,100,2.176675791852176,,,,,
target_06,20260906,20260925,learned,100,128,0.1777868595017935,0.0635303596595804,0.1379011554417957,0.6426599815216404,61,8.020600291900337,0.27,0.4,10.98,0.0005755566045718,0.0072982183137355
